PMS Code,PMS Code Description,$ Value,Reporting Category,Active/Inactive,Dose Count
71-49,CET Hextra Chews Large,23.55,Revenue Profit Categories - Over The Counter,active,0
85-4,Douxo Maintenance Shampoo 200ml,16.28,Revenue Profit Categories - Drug and Medications,active,0
85-4,Douxo Maintenance Shampoo 200ml,16.28,Medication Breakout - Derm,active,0
67-33,Fuciderm gel 15gr,34.94,Revenue Profit Categories - Over The Counter,inactive,0
93-134,RC K9 Reduced Protein 4.5kg,49.91,Diet Manufacturers - Royal Canin,active,0
93-134,RC K9 Reduced Protein 4.5kg,49.91,Revenue Profit Categories - Diet Revenue,active,0
67-2,Chlorhexidine 4% 50ml,2.0,Revenue Profit Categories - Drug and Medications,inactive,0
102-401,Earth Friendly Stain & Odor Refill 946ml,29.7,Revenue Profit Categories - Over The Counter,active,0
67-2,Chlorhexidine 4% 50ml,2.0,Medication Breakout - Derm,inactive,0
70-300,Chondro-Flex Gold Chews (120),96.25,Revenue Profit Categories - Over The Counter,active,0
100-256,Feline I/D 3.85kg,67.32,Diet Manufacturers - Hill's,active,0
100-256,Feline I/D 3.85kg,67.32,Revenue Profit Categories - Diet Revenue,active,0
100-311,Canine Hypoallergenic Treats 340gr,10.34,Revenue Profit Categories - Over The Counter,active,0
100-504,Feline J/D 3.85kg,54.88,Diet Manufacturers - Hill's,active,0
100-504,Feline J/D 3.85kg,54.88,Revenue Profit Categories - Diet Revenue,active,0
70-8,Vetform CT Support 400gm,56.95,Revenue Profit Categories - Over The Counter,active,0
72-2,Denosyl 90mg tablet,1.57,Revenue Profit Categories - Over The Counter,active,0
100-158,Canine D/D Can - Duck,3.59,Diet Manufacturers - Hill's,active,0
102-600,Pill Pockets K9 Peanut Butter Lrg(7.9oz),13.69,Revenue Profit Categories - Over The Counter,active,0
100-530,Feline Metabolic 1.81kg,39.35,Diet Manufacturers - Hill's,active,0
100-530,Feline Metabolic 1.81kg,39.35,Revenue Profit Categories - Diet Revenue,active,0
100-158,Canine D/D Can - Duck,3.59,Revenue Profit Categories - Diet Revenue,active,0
100-306,Feline C/D Urinary Stress 3.85kg,65.23,Diet Manufacturers - Hill's,active,0
100-306,Feline C/D Urinary Stress 3.85kg,65.23,Revenue Profit Categories - Diet Revenue,active,0
