PMS Code,PMS Code Description,$ Value,Reporting Category,Active/Inactive,Dose Count
PDcddpd2,*** PR Diet D/D Potato and Duck 8kg DO NOT USE,77.09,Diet Manufacturers - Hill's,active,0
RP9065,***Vet Solutions Enzadent O/C Chews (Large) 30DO NOT USE,21.1,Revenue Profit Categories - Over The Counter,active,0
RP2799,***Adaptil Spray 60ml DO NOT USE,45.92,Revenue Profit Categories - Over The Counter,active,0
Tx3155,***Ear Swab/Cytology N/C ($18.00) DO NOT USE,0.0,Revenue Profit Categories - Lab (in-house),active,0
PDccd40,***PR Diet K9 C/D 15.9kg DO NOT USE,106.42,Diet Manufacturers - Hill's,active,0
PDccd40,***PR Diet K9 C/D 15.9kg DO NOT USE,106.42,Revenue Profit Categories - Diet Revenue,active,0
PDccd40,***PR Diet K9 C/D 15.9kg DO NOT USE,106.42,Diet Types - Urinary,active,0
PDcddpd2,*** PR Diet D/D Potato and Duck 8kg DO NOT USE,77.09,Revenue Profit Categories - Diet Revenue,active,0
PDcddpd2,*** PR Diet D/D Potato and Duck 8kg DO NOT USE,77.09,Diet Types - Derm Diet,active,0
PDcid20,PR Diet K9 I/D 9.07kg,0.0,Diet Manufacturers - Hill's,active,0
Sx4350,Entropion- 2 Lids,213.0,Revenue Profit Categories - Surgery,active,0
Rx6822,***Comfortis Canine 4.6-9.1kg / Feline 2.8-5.5kg DO NOT USE,2.3,Revenue Profit Categories - Drug and Medications,active,1
Rx6822,***Comfortis Canine 4.6-9.1kg / Feline 2.8-5.5kg DO NOT USE,2.3,Parasiticides_External - Comfortis,active,1
PDcid20,PR Diet K9 I/D 9.07kg,0.0,Revenue Profit Categories - Diet Revenue,active,0
PDcid20,PR Diet K9 I/D 9.07kg,0.0,Diet Types - Gastro,active,0
Rx2445,***Vetolexin Oral Paste 250mg - 15ml,6.5,Revenue Profit Categories - Drug and Medications,active,0
Rx1901,***Baytril Otic 30ml DO NOT USE,55.64,Revenue Profit Categories - Drug and Medications,active,0
mcrcfd4,RC VDIET Feline Diabetic 4kg,53.2,Diet Manufacturers - Royal Canin,active,0
mcrcfd4,RC VDIET Feline Diabetic 4kg,53.2,Revenue Profit Categories - Diet Revenue,active,0
